date,costs,pri,cpi,ppi
01/09/2023,,0.004959471,154.656,233.769
01/10/2023,,-0.001906257,155.298,233.88
01/11/2023,,0.00150641,156.059,237.33
01/12/2023,,-0.015667208,156.454,237.739
01/01/2024,,,157.49,237.766
01/02/2024,,,157.314,239.813
01/03/2024,,,158.11,241.893
01/04/2024,,,158.001,246.508
01/05/2024,,,158.713,247.564
01/06/2024,,,157.614,247.811
01/07/2024,,,157.667,248.463
01/08/2024,,,158.871,248.489
01/09/2024,,,158.068,259.01
01/10/2024,,,159.198,259.094
01/11/2024,,,159.147,259.241
01/12/2024,,,159.148,259.357
