date,costs,pri,cpi,ppi,
2016-05-01,1215,-0.006143782,147.708,203.9,
2016-06-01,1027.1,0.000846755,147.652,204.5,
2016-07-01,1553.6,-0.003154977,147.758,204.6,
2016-08-01,10600,-0.005844992,147.728,205.4,
2016-09-01,,0.004652578,147.56,203,
2016-10-01,,-0.005499513,147.432,203,
2016-11-01,1823,-0.001659942,147.658,203.2,
2016-12-01,22939.9,-0.010188664,147.793,203.3,
2017-01-01,3027.3,-0.002148582,147.758,203.4,
2017-02-01,1560,-0.006143637,147.798,203.6,
2017-03-01,3842.8,0.005086158,148.078,203.6,
2017-04-01,,0.00191746,149.125,203.2,
2017-05-01,,0.005317344,149.164,204,
2017-06-01,3022.8,0.007587666,149.307,205.1,
2017-07-01,1725.4,-0.003080006,149.444,205.2,
2017-08-01,129763,-0.004069281,149.386,205.2,
2017-09-01,91800,0.001283454,149.328,204.8,
2017-10-01,,-0.003794303,148.87,205.5,
2017-11-01,5928,0.004448344,148.629,205.6,
2017-12-01,71889.6,-0.0080723,148.699,205.7,
2018-01-01,,0.001985605,149.073,205.6,
2018-02-01,,-0.00095975,149.258,205.8,
2018-03-01,3594.8,-0.003095308,149.288,206,
2018-04-01,2349.8,-0.002936882,149.393,206.9,
2018-05-01,2447.7,-0.004086678,150.604,207.2,
2018-06-01,3100,0.001703588,150.901,207.2,
2018-07-01,,-0.000998264,151.771,207.5,
2018-08-01,,0.000770481,151.975,207.5,
2018-09-01,27500,0.008421491,151.825,208,
2018-10-01,,0.0027968,151.51,208.2,
2018-11-01,,-0.000796624,151.699,207.3,
2018-12-01,,-0.001220666,151.508,207.5,
2019-01-01,,-0.004241795,151.641,207.7,
2019-02-01,,0.000343704,151.737,208.1,
2019-03-01,,-0.00612096,151.471,208.3,
2019-04-01,,-0.00084152,151.423,209.2,
2019-05-01,,-0.00593859,151.569,210.5,
2019-06-01,,0.000680353,152.159,210.6,
2019-07-01,,0.00224004,152.186,211,
2019-08-01,,-0.00035347,151.777,211.4,
2019-09-01,,0.004235355,151.787,211.2,
2019-10-01,,0.01022141,151.906,211.4,
2019-11-01,,0.000339733,151.842,211.4,
2019-12-01,,0.003155096,151.654,211.9,
2020-01-01,,-0.00485272,151.251,211.8,
2020-02-01,,-0.00203531,151.731,212,
2020-03-01,,-0.014353727,150.753,212.5,
2020-04-01,,-0.010484189,151.161,212.6,
2020-05-01,,-0.01144645,150.428,213.2,
2020-06-01,,-0.009831958,150.444,213.2,
2020-07-01,,-0.010675304,150.869,213.4,
2020-08-01,,-0.004851263,150.818,213.4,
2020-09-01,,0.006326428,150.839,214.3,
2020-10-01,,-0.003416689,151.186,214.3,
2020-11-01,,-0.003602805,151.634,214.3,
2020-12-01,,-0.008338055,151.786,215.2,
2021-01-01,,-0.002892835,152.493,215.2,
2021-02-01,,0.002026822,150.665,215.1,
2021-03-01,,-0.001539462,150.46,215.2,
2021-04-01,,-0.001185111,150.559,215.7,
2021-05-01,,-0.002053722,150.423,216.3,
2021-06-01,,0.001088174,150.608,216,
2021-07-01,,0.003244881,150.71,215.767,
2021-08-01,,-0.004722299,150.428,216.032,
2021-09-01,,-0.000254934,150.92,216.87,
2021-10-01,,0.0107205,150.535,217.036,
2021-11-01,,-0.003823242,150.113,216.897,
2021-12-01,,-0.002952303,150.408,216.824,
2022-01-01,,0.00647181,149.942,216.541,
2022-02-01,,0.001591241,150.018,216.651,
2022-03-01,,0.016325968,149.886,217.577,
2022-04-01,,-0.005809537,149.895,217.598,
2022-05-01,,-0.016813072,149.795,218.423,
2022-06-01,,0.004221953,151.123,218.656,
2022-07-01,,-0.009399666,151.288,218.786,
2022-08-01,,-0.004440442,151.116,219.028,
2022-09-01,,-0.00693548,150.48,220.134,
2022-10-01,,-0.001496779,150.871,218.171,
2022-11-01,,-0.006711891,150.98,218.751,
2022-12-01,,-0.000555724,151.079,219.946,
2023-01-01,,-0.002551287,151.289,219.765,
2023-02-01,,-0.005165525,151.176,219.996,
2023-03-01,,0.004431819,151.229,221.559,
2023-04-01,,-0.001211281,151.966,222.178,
2023-05-01,,0.004870134,152.185,224.947,
2023-06-01,,0.008078409,152.682,227.236,
2023-07-01,,0.005827177,152.87,227.775,
2023-08-01,,-0.003277575,153.309,228.179,
2023-09-01,,0.004959471,154.656,233.769,
2023-10-01,,-0.001906257,155.298,233.88,
2023-11-01,,0.00150641,156.059,237.33,
2023-12-01,,-0.015667208,156.454,237.739,
2024-01-01,,,157.49,237.766,
2024-02-01,,,157.314,239.813,
2024-03-01,,,158.11,241.893,
2024-04-01,,,158.001,246.508,
2024-05-01,,,158.713,247.564,
2024-06-01,,,157.614,247.811,
2024-07-01,,,157.667,248.463,
2024-08-01,,,158.871,248.489,
2024-09-01,,,158.068,259.01,
2024-10-01,,,159.198,259.094,
2024-11-01,,,159.147,259.241,
2024-12-01,,,159.148,259.357,
