Date,Sum of Total CPI-Adjusted Cost (Millions of Dollars),Monthly PRI,CPI Household Insurance ,PPI Household Insurance Premia
01/08/2015, -   ,-0.011880305,146.333,199.9
01/09/2015," 1,680.20 ",-0.002624683,146.523,202
01/10/2015," 1,373.90 ",-0.000999338,146.57,202.1
01/11/2015," 3,248.70 ",-0.003293366,147.024,202.3
01/12/2015," 6,942.10 ",-0.008947886,147.76,202.4
01/01/2016, -   ,-0.008390369,147.943,202.4
01/02/2016," 3,640.40 ",-0.008759875,148.254,202.5
01/03/2016," 3,471.60 ",-0.007634081,147.946,203.5
01/04/2016," 2,836.60 ",-0.007868008,147.526,203.6
01/05/2016," 1,215.00 ",-0.006143782,147.708,203.9
01/06/2016," 1,027.10 ",0.000846755,147.652,204.5
01/07/2016," 1,553.60 ",-0.003154977,147.758,204.6
01/08/2016," 10,600.00 ",-0.005844992,147.728,205.4
01/09/2016, -   ,0.004652578,147.56,203
01/10/2016, -   ,-0.005499513,147.432,203
01/11/2016," 1,823.00 ",-0.001659942,147.658,203.2
01/12/2016," 22,939.90 ",-0.010188664,147.793,203.3
01/01/2017," 3,027.30 ",-0.002148582,147.758,203.4
01/02/2017," 1,560.00 ",-0.006143637,147.798,203.6
01/03/2017," 3,842.80 ",0.005086158,148.078,203.6
01/04/2017, -   ,0.00191746,149.125,203.2
01/05/2017, -   ,0.005317344,149.164,204
01/06/2017," 3,022.80 ",0.007587666,149.307,205.1
01/07/2017," 1,725.40 ",-0.003080006,149.444,205.2
01/08/2017," 129,763.00 ",-0.004069281,149.386,205.2
01/09/2017," 91,800.00 ",0.001283454,149.328,204.8
01/10/2017, -   ,-0.003794303,148.87,205.5
01/11/2017," 5,928.00 ",0.004448344,148.629,205.6
01/12/2017," 71,889.60 ",-0.0080723,148.699,205.7
01/01/2018, -   ,0.001985605,149.073,205.6
01/02/2018, -   ,-0.00095975,149.258,205.8
01/03/2018," 3,594.80 ",-0.003095308,149.288,206
01/04/2018," 2,349.80 ",-0.002936882,149.393,206.9
01/05/2018," 2,447.70 ",-0.004086678,150.604,207.2
01/06/2018," 3,100.00 ",0.001703588,150.901,207.2
01/07/2018, -   ,-0.000998264,151.771,207.5
01/08/2018, -   ,0.000770481,151.975,207.5
01/09/2018," 27,500.00 ",0.008421491,151.825,208
01/10/2018,,0.0027968,151.51,208.2
01/11/2018,,-0.000796624,151.699,207.3
01/12/2018,,-0.001220666,151.508,207.5
01/01/2019,,-0.004241795,151.641,207.7
01/02/2019,,0.000343704,151.737,208.1
01/03/2019,,-0.00612096,151.471,208.3
01/04/2019,,-0.00084152,151.423,209.2
01/05/2019,,-0.00593859,151.569,210.5
01/06/2019,,0.000680353,152.159,210.6
01/07/2019,,0.00224004,152.186,211
01/08/2019,,-0.00035347,151.777,211.4
01/09/2019,,0.004235355,151.787,211.2
01/10/2019,,0.01022141,151.906,211.4
01/11/2019,,0.000339733,151.842,211.4
01/12/2019,,0.003155096,151.654,211.9
01/01/2020,,-0.00485272,151.251,211.8
01/02/2020,,-0.00203531,151.731,212
01/03/2020,,-0.014353727,150.753,212.5
01/04/2020,,-0.010484189,151.161,212.6
01/05/2020,,-0.01144645,150.428,213.2
01/06/2020,,-0.009831958,150.444,213.2
01/07/2020,,-0.010675304,150.869,213.4
01/08/2020,,-0.004851263,150.818,213.4
01/09/2020,,0.006326428,150.839,214.3
01/10/2020,,-0.003416689,151.186,214.3
01/11/2020,,-0.003602805,151.634,214.3
01/12/2020,,-0.008338055,151.786,215.2
01/01/2021,,-0.002892835,152.493,215.2
01/02/2021,,0.002026822,150.665,215.1
01/03/2021,,-0.001539462,150.46,215.2
01/04/2021,,-0.001185111,150.559,215.7
01/05/2021,,-0.002053722,150.423,216.3
01/06/2021,,0.001088174,150.608,216
01/07/2021,,0.003244881,150.71,215.767
01/08/2021,,-0.004722299,150.428,216.032
01/09/2021,,-0.000254934,150.92,216.87
01/10/2021,,0.0107205,150.535,217.036
01/11/2021,,-0.003823242,150.113,216.897
01/12/2021,,-0.002952303,150.408,216.824
01/01/2022,,0.00647181,149.942,216.541
01/02/2022,,0.001591241,150.018,216.651
01/03/2022,,0.016325968,149.886,217.577
01/04/2022,,-0.005809537,149.895,217.598
01/05/2022,,-0.016813072,149.795,218.423
01/06/2022,,0.004221953,151.123,218.656
01/07/2022,,-0.009399666,151.288,218.786
01/08/2022,,-0.004440442,151.116,219.028
01/09/2022,,-0.00693548,150.48,220.134
01/10/2022,,-0.001496779,150.871,218.171
01/11/2022,,-0.006711891,150.98,218.751
01/12/2022,,-0.000555724,151.079,219.946
01/01/2023,,-0.002551287,151.289,219.765
01/02/2023,,-0.005165525,151.176,219.996
01/03/2023,,0.004431819,151.229,221.559
01/04/2023,,-0.001211281,151.966,222.178
01/05/2023,,0.004870134,152.185,224.947
01/06/2023,,0.008078409,152.682,227.236
01/07/2023,,0.005827177,152.87,227.775
01/08/2023,,-0.003277575,153.309,228.179
01/09/2023,,0.004959471,154.656,233.769
01/10/2023,,-0.001906257,155.298,233.88
01/11/2023,,0.00150641,156.059,237.33
01/12/2023,,-0.015667208,156.454,237.739
01/01/2024,,,157.49,237.766
01/02/2024,,,157.314,239.813
01/03/2024,,,158.11,241.893
01/04/2024,,,158.001,246.508
01/05/2024,,,158.713,247.564
01/06/2024,,,157.614,247.811
01/07/2024,,,157.667,248.463
01/08/2024,,,158.871,248.489
01/09/2024,,,158.068,259.01
01/10/2024,,,159.198,259.094
01/11/2024,,,159.147,259.241
01/12/2024,,,159.148,259.357
